dataset,method,run_id,bin,bin_probability,bin_frequency,bin_weight
core50,clora,0,14,0.9678776513733449,0.6229508196721312,0.0793
core50,clora,3,0,0.0,0.0,0.0
core50,clora,3,1,0.11677156304413418,0.11320754716981132,0.0053
core50,clora,3,2,0.17396815230206744,0.11463414634146342,0.041
core50,clora,3,3,0.2347985464767371,0.16871508379888267,0.0895
core50,clora,3,4,0.3008643831762674,0.23150565709312446,0.1149
core50,clora,3,5,0.3656848133217968,0.25023169601482853,0.1079
core50,clora,3,6,0.4328934408033623,0.33530571992110453,0.1014
core50,clora,3,7,0.4995297909817313,0.3329718004338395,0.0922
core50,clora,3,8,0.5653355586064326,0.34285714285714286,0.077
core50,clora,3,9,0.6328245299668035,0.3771331058020478,0.0586
core50,clora,3,10,0.698946567649774,0.38271604938271603,0.0567
core50,clora,3,11,0.766192465352915,0.395112016293279,0.0491
core50,clora,3,12,0.8325174418722445,0.42323651452282157,0.0482
core50,clora,3,13,0.9005016696068548,0.5,0.062
core50,clora,3,14,0.9715518435916385,0.4979209979209979,0.0962
core50,clora,4,0,0.0,0.0,0.0
core50,clora,4,1,0.12102830156366876,0.10638297872340426,0.0047
core50,clora,4,2,0.17319635244516227,0.11538461538461539,0.0312
core50,clora,4,3,0.23609632546279474,0.16020671834625322,0.0774
core50,clora,4,4,0.30198288701719656,0.20889748549323017,0.1034
core50,clora,4,5,0.36640662753704895,0.2793814432989691,0.097
core50,clora,4,6,0.4332260872553853,0.3533980582524272,0.103
core50,clora,4,7,0.49926195123966244,0.3752711496746204,0.0922
core50,clora,4,8,0.5653358178913664,0.4211150652431791,0.0843
core50,clora,4,9,0.6321572161735373,0.4397163120567376,0.0705
core50,clora,4,10,0.6988151821507921,0.46831530139103555,0.0647
core50,clora,4,11,0.7670258861883095,0.5070643642072213,0.0637
core50,clora,4,12,0.8337379810706762,0.5329052969502408,0.0623
core50,clora,4,13,0.9014504682415295,0.5666156202143952,0.0653
core50,clora,4,14,0.9701718987147805,0.589041095890411,0.0803
core50,ewc,2,0,0.06493542591730754,0.0,0.0003
core50,ewc,2,1,0.11155556175713627,0.05295315682281059,0.0491
core50,ewc,2,2,0.1673059046067774,0.07912457912457913,0.1188
core50,ewc,2,3,0.23250689873328576,0.11698717948717949,0.1248
core50,ewc,2,4,0.2990340595097505,0.10368217054263566,0.1032
core50,ewc,2,5,0.36570618867052956,0.12169919632606199,0.0871
core50,ewc,2,6,0.43135518146805973,0.12583668005354753,0.0747
